		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  233  255  274  242  251  246  244  255  5.542095 0.698372 SUCCESS  76
100101000  232  269  238  245  283  233  252  230 11.441659 0.177908 SUCCESS  77
100110000  232  236  209  240  244  265  238  251  8.407143 0.394742 SUCCESS  78
100111000  222  246  252  241  243  266  228  230  6.372482 0.605584 SUCCESS  79
101000000  239  272  243  216  247  243  223  233  9.215288 0.324461 SUCCESS  80
101000100  242  253  230  245  247  237  259  221  4.654512 0.793783 SUCCESS  81
101001000  253  277  266  267  260  242  247  263 11.788007 0.160916 SUCCESS  82
101001100  237  247  239  226  220  241  268  253  7.009042 0.535657 SUCCESS  83
101010000  247  243  255  242  262  214  233  243  6.288808 0.614916 SUCCESS  84
101010100  272  232  229  278  248  241  258  237 10.881359 0.208513 SUCCESS  85
101011000  262  262  234  223  228  252  234  242  6.850167 0.552882 SUCCESS  86
101011100  237  229  254  232  248  249  227  274  7.408348 0.493282 SUCCESS  87
101100000  262  249  254  222  253  238  236  264  6.387311 0.603932 SUCCESS  88
101100100  270  262  265  262  221  250  271  228 13.963537 0.082721 SUCCESS  89
101101000  238  222  257  236  262  248  235  230  5.830188 0.666247 SUCCESS  90
101101100  249  236  226  246  268  253  244  235  4.888588 0.769415 SUCCESS  91
101110000  245  232  247  257  232  258  242  252  3.083767 0.928991 SUCCESS  92
101110100  226  256  242  250  239  250  282  247  8.524711 0.383961 SUCCESS  93
101111000  252  225  219  241  241  244  260  249  5.738041 0.676548 SUCCESS  94
101111100  247  245  233  231  273  247  223  248  6.814155 0.556810 SUCCESS  95
110000000  236  247  267  239  250  236  236  243  3.353854 0.910231 SUCCESS  96
110000010  240  260  237  261  241  242  280  248  8.138115 0.420096 SUCCESS  97
110000100  240  258  251  222  237  257  234  273  8.045967 0.428993 SUCCESS  98
110001000  221  191  236  244  249  236  225  255 16.933443 0.030810 SUCCESS  99
110001010  213  268  227  248  231  250  234  247  9.170803 0.328093 SUCCESS 100
110010000  225  237  259  217  225  237  276  243 11.893923 0.156000 SUCCESS 101
110010010  219  245  238  257  239  245  236  236  4.212839 0.837428 SUCCESS 102
110010100  253  246  230  221  262  225  244  228  7.464484 0.487444 SUCCESS 103
110011000  229  266  246  238  266  262  252  248  6.877705 0.549883 SUCCESS 104
110011010  289  283  238  243  241  255  246  243 15.661383 0.047491 SUCCESS 105
110100000  248  241  234  241  273  225  251  226  7.254769 0.509411 SUCCESS 106
110100010  231  259  259  231  248  235  238  214  7.754696 0.457792 SUCCESS 107
110100100  236  244  269  276  232  254  231  242  8.990745 0.343077 SUCCESS 108
110101000  270  260  271  216  230  229  240  254 12.615217 0.125792 SUCCESS 109
110101010  260  259  215  255  245  242  260  247  7.225112 0.512551 SUCCESS 110
110101100  261  272  231  228  233  251  234  238  7.647720 0.468616 SUCCESS 111
110110000  249  254  245  236  248  246  242  260  1.962108 0.982152 SUCCESS 112
110110010  279  266  250  255  234  249  250  239  8.620036 0.375355 SUCCESS 113
110110100  240  242  258  242  258  242  203  242  8.945201 0.346940 SUCCESS 114
110111000  238  243  212  256  224  247  219  236  9.839138 0.276498 SUCCESS 115
110111010  219  241  269  264  225  257  263  265 12.618394 0.125671 SUCCESS 116
110111100  240  232  229  247  256  246  256  273  6.441328 0.597923 SUCCESS 117
111000000  249  258  242  229  233  272  251  229  6.890415 0.548501 SUCCESS 118
111000010  252  226  256  249  244  249  243  248  2.522408 0.960678 SUCCESS 119
111000100  231  221  231  250  246  236  236  255  4.946843 0.763242 SUCCESS 120
111000110  224  233  237  256  257  231  238  244  4.643921 0.794868 SUCCESS 121
111001000  236  245  263  228  236  220  282  248 11.780592 0.161265 SUCCESS 122
111001010  246  227  241  228  247  228  250  218  6.574783 0.583125 SUCCESS 123
111001100  231  249  219  263  278  266  252  230 13.011345 0.111460 SUCCESS 124
111010000  240  261  233  237  260  222  272  210 13.385232 0.099265 SUCCESS 125
111010010  237  259  247  231  232  257  249  250  3.489428 0.900009 SUCCESS 126
111010100  259  258  283  231  210  225  262  232 17.345459 0.026706 SUCCESS 127
111010110  248  269  246  233  233  251  234  242  4.402430 0.819113 SUCCESS 128
111011000  220  249  248  233  235  247  227  258  5.600349 0.691899 SUCCESS 129
111011010  252  273  263  233  261  219  219  240 12.456341 0.131975 SUCCESS 130
111011100  234  247  225  258  232  235  222  237  6.099217 0.636119 SUCCESS 131
111100000  253  245  269  216  248  247  253  251  6.942315 0.542869 SUCCESS 132
111100010  210  230  233  246  225  242  253  246  8.235558 0.410805 SUCCESS 133
111100100  217  226  244  230  237  235  252  259  7.122373 0.523489 SUCCESS 134
111100110  260  244  228  258  290  257  264  244 14.277051 0.074824 SUCCESS 135
111101000  252  238  207  224  257  253  252  240  9.347684 0.313820 SUCCESS 136
111101010  255  269  263  242  240  251  254  227  6.579020 0.582657 SUCCESS 137
111101100  265  246  262  240  226  266  225  229  9.224821 0.323687 SUCCESS 138
111101110  244  247  244  253  223  232  242  249  3.002211 0.934219 SUCCESS 139
111110000  268  240  276  217  242  229  257  249 11.700096 0.165095 SUCCESS 140
111110010  214  222  238  245  256  244  248  252  7.004805 0.536114 SUCCESS 141
111110100  220  236  218  228  251  257  229  245  8.613681 0.375925 SUCCESS 142
111110110  246  240  273  221  226  277  225  250 13.551521 0.094230 SUCCESS 143
111111000  260  237  278  252  220  250  241  245  9.063827 0.336940 SUCCESS 144
111111010  256  248  238  249  236  264  243  243  2.884643 0.941387 SUCCESS 145
111111100  246  202  255  246  228  251  251  241  9.592352 0.294810 SUCCESS 146
111111110  244  222  259  237  216  275  241  227 11.900278 0.155709 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  239  221  274  236  235  271  249 11.019051 0.200622 SUCCESS   0
000000011  239  231  233  284  253  211  251  258 14.100170 0.079192 SUCCESS   1
000000101  236  236  244  247  225  246  263  242  3.687492 0.884161 SUCCESS   2
000000111  231  253  223  276  246  246  237  254  7.916749 0.441644 SUCCESS   3
000001001  246  238  239  260  244  247  245  271  4.451152 0.814300 SUCCESS   4
000001011  242  236  234  257  214  275  255  251 10.020256 0.263607 SUCCESS   5
000001101  262  251  241  260  213  230  241  273 11.186399 0.191360 SUCCESS   6
000001111  258  264  233  268  272  215  237  266 14.556671 0.068361 SUCCESS   7
000010001  260  272  207  254  236  244  244  262 12.245567 0.140579 SUCCESS   8
000010011  237  231  253  229  238  244  248  236  2.750129 0.949047 SUCCESS   9
000010101  281  248  244  246  214  227  249  235 11.380227 0.181071 SUCCESS  10
000010111  260  216  240  254  214  248  246  271 11.887568 0.156291 SUCCESS  11
000011001  232  260  247  260  235  262  281  230 11.105903 0.195771 SUCCESS  12
000011011  270  258  209  231  255  237  242  257 11.046589 0.199073 SUCCESS  13
000011101  244  240  241  250  217  241  225  259  5.905389 0.657829 SUCCESS  14
000011111  263  230  238  256  277  229  237  259  9.811600 0.278499 SUCCESS  15
000100011  254  276  226  276  253  247  222  273 16.389031 0.037139 SUCCESS  16
000100101  230  229  203  266  253  243  255  236 12.126940 0.145629 SUCCESS  17
000100111  244  208  245  246  215  243  226  222 12.612039 0.125914 SUCCESS  18
000101001  233  234  248  227  267  225  232  216 10.005427 0.264645 SUCCESS  19
000101011  272  255  247  259  241  238  234  244  5.400166 0.714074 SUCCESS  20
000101101  232  248  238  245  245  263  232  260  4.051846 0.852416 SUCCESS  21
000101111  253  207  237  222  234  254  246  255  9.825369 0.277497 SUCCESS  22
000110011  234  250  246  259  236  230  247  227  3.935338 0.862910 SUCCESS  23
000110101  227  227  254  293  238  238  236  260 14.683771 0.065594 SUCCESS  24
000110111  261  251  224  229  251  235  255  255  5.646952 0.686710 SUCCESS  25
000111001  245  249  222  239  268  236  209  217 13.328036 0.101050 SUCCESS  26
000111011  254  241  258  228  219  234  209  265 12.553785 0.128153 SUCCESS  27
000111101  240  250  244  236  272  223  241  222  7.796004 0.453647 SUCCESS  28
000111111  254  240  239  251  262  240  251  239  2.534059 0.960124 SUCCESS  29
001000011  260  228  260  234  251  260  272  247  8.266274 0.407901 SUCCESS  30
001000101  238  247  243  242  227  238  231  249  2.450384 0.964004 SUCCESS  31
001000111  250  252  220  250  252  254  243  260  4.769962 0.781856 SUCCESS  32
001001011  200  228  225  245  254  257  255  238 12.678767 0.123391 SUCCESS  33
001001101  238  259  235  240  265  256  238  249  4.224490 0.836322 SUCCESS  34
001001111  243  212  253  273  222  261  235  250 12.023142 0.150174 SUCCESS  35
001010011  245  214  257  231  261  238  221  210 13.844910 0.085898 SUCCESS  36
001010101  233  229  259  231  231  251  254  238  4.662986 0.792914 SUCCESS  37
001010111  257  254  250  245  244  234  237  252  2.177119 0.975095 SUCCESS  38
001011011  246  258  229  230  279  257  245  246  8.518356 0.384539 SUCCESS  39
001011101  230  219  229  223  247  220  253  263 10.723543 0.217861 SUCCESS  40
001011111  238  236  241  238  248  256  246  240  1.386980 0.994429 SUCCESS  41
001100101  230  282  260  269  258  263  275  235 17.328513 0.026864 SUCCESS  42
001100111  249  255  249  262  214  234  237  230  7.395638 0.494609 SUCCESS  43
001101011  240  228  259  261  228  231  246  256  5.761343 0.673945 SUCCESS  44
001101101  223  255  268  224  253  261  255  246  8.578729 0.379069 SUCCESS  45
001101111  244  242  245  236  256  235  240  247  1.359442 0.994803 SUCCESS  46
001110101  243  261  254  251  258  240  251  256  3.510611 0.898365 SUCCESS  47
